,id,user_name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,label
9502,72041990,OH Cust. Srv. Jobs,tmj_OH_cstsrv,63.0,329.0,272.0,0.0,98.0,https://t.co/DByWt45HZj,en,Eastern Time (US & Canada),Ohio,False,False,True,http://pbs.twimg.com/profile_images/669551571374440448/iDQRTyTq_normal.jpg,True,https://pbs.twimg.com/profile_background_images/315421082/Twitter-BG_2_bg-image.jpg,0,https://pbs.twimg.com/profile_images/669551571374440448/iDQRTyTq_normal.jpg,000000,False,407DB0,http://pbs.twimg.com/profile_background_images/315421082/Twitter-BG_2_bg-image.jpg,253956,4A913C,-14400.0,False,False,False,False,False,Follow this account for geo-targeted Customer Service job tweets in Ohio Non-Metro. Need help? Tweet us at @CareerArc!,False,False,2009-09-06 14:14:05,fake
7213,531151919,Iraida Percival,Percivaldig,22533.0,868.0,1023.0,0.0,0.0,,en,,,True,False,False,http://pbs.twimg.com/profile_images/1914089478/580078411209438_double_call_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/1914089478/580078411209438_double_call_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,"Love to travel, connect with new friends and oh yeah I am a full time sales consultant :)",False,False,2012-03-20 11:44:58,fake
5477,2356622689,TawnyDuffield,TawnyDuffield,109.0,33.0,212.0,0.0,0.0,http://t.co/EJu96wMXTz,en,,,False,False,False,http://pbs.twimg.com/profile_images/473695663729815552/OGjwedd7_normal.jpeg,True,https://pbs.twimg.com/profile_background_images/473695680771268608/kpPvvtIM.jpeg,333333,https://pbs.twimg.com/profile_images/473695663729815552/OGjwedd7_normal.jpeg,FFFFFF,True,DDEEF6,http://pbs.twimg.com/profile_background_images/473695680771268608/kpPvvtIM.jpeg,C0DEED,0084B4,,False,False,False,False,False,"actress, singer, home wrecker. i guess i'm a triple threat.",False,False,2014-02-22 16:47:58,fake
2417,3207392141,The Busy Mother,TheBusylother1,58.0,15.0,854.0,49.0,0.0,http://t.co/sscPBc0qjM,en,,"Queensland, Australia",False,False,False,http://pbs.twimg.com/profile_images/602327550891794432/pFaMYs4Y_normal.jpg,True,https://abs.twimg.com/images/themes/theme12/bg.gif,0C3E53,https://pbs.twimg.com/profile_images/602327550891794432/pFaMYs4Y_normal.jpg,F2E195,False,FFF7CC,http://abs.twimg.com/images/themes/theme12/bg.gif,BADFCD,FF0000,,False,False,False,False,False,"A website for all Mothers who like to see the best in life! You can stay at home with the kids, work from home and cook yummy food! Follow me to see how!",False,False,2015-04-25 19:34:05,fake
379,3346253399,Raj S.,ujndjdbimr,1785.0,20.0,732.0,1609.0,40.0,http://t.co/vhiw1PFKNa,en,,Mississippi,True,False,False,http://pbs.twimg.com/profile_images/632144822309138432/mkOgmK5z_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/632144822309138432/mkOgmK5z_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,"Business  #RIT Social Media,  Technology, Innovation, Marketing Researcher, Consultant & Speaker",False,False,2015-06-26 04:21:11,fake
9148,38164107,TMJ-CAO Jobs,tmj_cao_jobs,897.0,750.0,540.0,0.0,104.0,https://t.co/DByWt45HZj,en,Eastern Time (US & Canada),"Orange County, CA",False,False,True,http://pbs.twimg.com/profile_images/689900954531946496/gfx_RuX5_normal.jpg,True,https://pbs.twimg.com/profile_background_images/315460082/Twitter-BG_2_bg-image.jpg,0,https://pbs.twimg.com/profile_images/689900954531946496/gfx_RuX5_normal.jpg,000000,False,407DB0,http://pbs.twimg.com/profile_background_images/315460082/Twitter-BG_2_bg-image.jpg,253956,4A913C,-14400.0,False,False,False,False,False,"Follow this account for geo-targeted Other job tweets in Orange County, CA. Need help? Tweet us at @CareerArc!",False,False,2009-05-06 12:09:07,fake
9516,72055804,WV Cust. Srv. Jobs,tmj_WV_cstsrv,20.0,289.0,271.0,0.0,49.0,https://t.co/DByWt45HZj,en,Eastern Time (US & Canada),West Virginia,False,False,True,http://pbs.twimg.com/profile_images/696896767409795072/0PDiDs_x_normal.jpg,True,https://pbs.twimg.com/profile_background_images/315420807/Twitter-BG_2_bg-image.jpg,0,https://pbs.twimg.com/profile_images/696896767409795072/0PDiDs_x_normal.jpg,000000,False,407DB0,http://pbs.twimg.com/profile_background_images/315420807/Twitter-BG_2_bg-image.jpg,253956,4A913C,-14400.0,False,False,False,False,False,Follow this account for geo-targeted Customer Service job tweets in West Virginia Non-Metro. Need help? Tweet us at @CareerArc!,False,False,2009-09-06 15:24:19,fake
3498,1273204765,Idalina,IdaLinetti,4557.0,775.0,736.0,453.0,5.0,,en,Athens,,True,False,False,http://pbs.twimg.com/profile_images/3625894758/2a7abac54ab19ed962ba81104df39925_normal.jpeg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/3625894758/2a7abac54ab19ed962ba81104df39925_normal.jpeg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,10800.0,False,False,False,False,False,,False,False,2013-03-16 20:08:42,fake
1576,3322867959,Nate,Louie77_,1000.0,33.0,662.0,953.0,2.0,http://t.co/72K0kF5F1a,en,,"Duncanville, Texas",True,False,False,http://pbs.twimg.com/profile_images/633469706104500224/dqAwyjIS_normal.jpg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/633469706104500224/dqAwyjIS_normal.jpg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,"Sales   for Metter Media &

DJ for Hire",False,False,2015-06-13 12:14:01,fake
8246,113122211,Bianca,bipietra,48.0,116.0,698.0,3.0,1.0,,en,,,False,False,False,http://pbs.twimg.com/profile_images/687984354/OgAAAOn5jumYG4-DwcG8AavBN6sD_3oTvcP7_MeSgM6X-uiKvPbk4vfcio3lHLZMctpXQozUoKSPzqEXrvULcIofZpsAm1T1UGwqTWmVcWbLgYSRgcEGjfn16Awt_normal.jpg,True,https://abs.twimg.com/images/themes/theme11/bg.gif,362720,https://pbs.twimg.com/profile_images/687984354/OgAAAOn5jumYG4-DwcG8AavBN6sD_3oTvcP7_MeSgM6X-uiKvPbk4vfcio3lHLZMctpXQozUoKSPzqEXrvULcIofZpsAm1T1UGwqTWmVcWbLgYSRgcEGjfn16Awt_normal.jpg,CC3366,True,E5507E,http://abs.twimg.com/images/themes/theme11/bg.gif,FF6699,B40B43,,False,False,False,False,False,,False,False,2010-02-10 19:43:07,fake
