,bidirectional_links,eigenvector,pagerank,reputation
24503,0.0998315080034,0.000376987030398,4.79928443245e-08,0.678058041768
286543,0.30980861244,0.00131998259943,4.55357676242e-08,0.591397849462
382393,0.506102522376,0.000452754031606,3.89239435294e-08,0.713720009317
586003,0.360313315927,7.84069664063e-05,3.76873636072e-08,0.380759902991
678033,0.368902439024,0.0,0.000112367747839,0.835561497326
722623,0.588461538462,0.0,4.5524665659e-05,0.72192513369
755116,0.494642857143,0.000385962912074,8.10109430518e-08,0.56043956044
755746,0.35857805255,0.0,3.59307173931e-05,0.711804008909
785080,0.272398190045,0.0,2.7505118799e-05,0.525343642612
806585,0.626712328767,0.0,5.25797002152e-05,0.666951810664
806975,0.22467771639,0.0,2.64332504915e-08,0.902038607252
887281,0.0975443383356,0.0,1.2451382644e-05,0.158680057389
1382561,0.107402912621,0.0,1.1912144334e-05,0.242994947175
1813221,0.319727891156,0.000273764391122,4.64202652212e-08,0.565088757396
2007021,0.369294605809,0.000571288469035,4.76931944884e-08,0.928102625298
2731681,0.150326797386,0.0,1.68908470641e-06,0.325991189427
2770511,0.323725055432,0.0,2.53256972959e-05,0.714013950539
3873101,0.745059288538,0.0,1.59339633963e-05,0.583196046129
3888491,0.371252204586,0.00131998259943,4.5901775902e-08,0.531598513011
4121091,0.403445149592,0.00131998259943,1.23498886328e-07,0.720547251077
5445622,0.747422680412,0.0,2.89430876257e-05,0.623848763936
5656162,0.40099009901,0.000180309623083,3.54757545053e-08,0.554575523705
5682702,0.220930232558,0.0,7.01406301793e-06,0.783375314861
5812422,0.239431856611,0.0,2.64332504915e-08,0.376949009692
5820222,0.382151029748,0.0,5.59856245411e-06,0.36204379562
5856182,0.513420902342,0.000713054600214,4.7183644413e-08,0.740631017627
5863152,0.446368715084,0.0,2.64332504915e-08,0.570331253
6134312,0.325,0.0,4.11565710153e-06,0.476439790576
6296742,0.483850129199,0.0,5.82192342076e-05,0.625906234896
6775342,0.100558659218,0.0,2.31819606811e-06,0.362989323843
6834152,0.252453166815,0.0,5.42648199341e-05,0.518470790378
7004532,0.00297619047619,0.000124870353906,3.47873403153e-08,0.937031484258
7046912,0.0873882820258,8.18389211649e-06,3.02265035212e-08,0.832362244049
7246122,0.298850574713,0.00131998259943,2.09057697267e-07,0.428884026258
7527052,0.254464285714,0.0,4.85710977782e-06,0.324283559578
8029522,0.197916666667,0.0,9.77765935682e-06,0.530562347188
8291932,0.560287326834,0.0,3.91886155162e-05,0.47210184182
8548002,0.116279069767,0.0,2.94730742981e-06,0.215588723051
8657052,0.295053003534,0.0,1.72820591714e-05,0.575712143928
8711952,0.341538461538,0.0,4.43021278238e-06,0.376199616123
9011502,0.6,0.0,2.0652298609e-05,0.989224137931
9272142,0.423208191126,0.00100001881733,5.00590360631e-08,0.702839756592
9427822,0.621546961326,0.0,2.13038782336e-05,0.723453017571
9564632,0.117122851687,0.0,2.64332504915e-08,0.760919190382
9605632,0.209271523179,0.0,1.35972640528e-05,0.285714285714
9664862,0.217573221757,0.0,2.64332504915e-08,0.526732673267
10352582,0.594017094017,0.0,6.58809118626e-05,0.926066350711
11174562,0.505084745763,0.0,8.42956358175e-06,0.559043348281
11630862,0.512195121951,0.0,2.0944386027e-05,0.764367816092
11690822,0.305475504323,0.0,2.15959656516e-05,0.734506503443
11990112,0.270485120261,6.44151508523e-05,3.90542369931e-08,0.504744599233
12287842,0.424528301887,0.0,2.64715787047e-05,0.917381137958
12551742,0.495219885277,0.000571288469035,4.76931944884e-08,0.905305087815
12623352,0.25462962963,0.0,1.66661644349e-06,0.252595155709
12922462,0.631484794275,0.000385962912074,8.10109430518e-08,0.640283140283
13126372,0.18387776607,0.0,1.93940758856e-05,0.31231884058
13260592,0.341895482728,0.0,4.18398705405e-05,0.622408026756
13381912,0.21835443038,0.0,2.04725525057e-05,0.291479820628
13971722,0.272894898586,0.0,3.83123532624e-05,0.511558090663
13972932,0.192513368984,0.0,0.000112367747839,0.816726559948
14057516,0.204918032787,0.0,8.54190489634e-06,0.256601218687
14196068,0.571038251366,0.0,3.97053855633e-05,0.828330206379
14235705,0.198924731183,0.0,2.64332504915e-08,0.396756756757
14247395,0.388439306358,0.000705398701137,5.12039380227e-08,0.622105723023
14265485,0.536394723986,0.0,2.98193498795e-05,0.393121849985
14300066,0.947368421053,0.000417114501421,1.61847355252e-07,0.924302788845
14307043,0.42522756827,0.00131998259943,1.11560332188e-07,0.70366088632
14391096,0.542207792208,0.0,1.80684483735e-05,0.464968152866
14391111,0.2194,0.0,0.000112367747839,0.5
14443013,0.363520947948,0.00131998259943,6.17559522902e-08,0.67907103083
14492555,0.405797101449,0.0,1.35206076264e-06,0.299492385787
14522589,0.371369294606,0.0,1.73269956972e-05,0.615015974441
14558848,0.456842105263,0.0,1.42937802033e-05,0.572072072072
14573824,0.430656934307,0.0,9.82259588265e-06,0.760907504363
14587971,0.191884456671,0.0,2.64332504915e-08,0.422786820167
14626600,0.75956284153,0.000436386247373,4.82204926126e-08,0.877427997321
14716324,0.39966367713,0.0,2.30339344783e-05,0.364672364672
14721932,0.558758314856,0.0,1.12830329723e-05,0.526260504202
14739109,0.494178525226,0.000337123555895,3.90812526921e-08,0.504804612428
14764956,0.238255033557,0.0,2.94730742981e-06,0.303738317757
14791386,0.478273058593,0.000119854420029,3.37690909328e-08,0.58363487802
14807739,0.168316831683,0.0,1.53180686598e-06,0.24907063197
14824425,0.662921348315,0.0,1.58440903446e-05,0.887767969735
14851579,0.477528089888,0.0,9.21595278387e-06,0.696763202726
14865840,0.29541864139,0.0,3.21111126971e-05,0.530066815145
14867242,0.494736842105,0.0,4.29540320487e-06,0.666666666667
14905688,0.730941704036,0.0,2.64332504915e-08,0.876317249029
14962822,0.849246231156,0.0,1.3282708372e-05,0.747782002535
14969657,0.0688888888889,0.0,5.41881635076e-06,0.210526315789
14980820,0.00190597204574,0.000180309623083,3.45844783766e-08,0.760571950106
14982885,0.383139534884,0.0,2.64332504915e-08,0.744047619048
15016610,0.234567901235,0.0,8.20488095257e-06,0.529069767442
15044720,0.313370473538,0.0,8.54190489634e-06,0.34548769371
15084319,0.20218579235,0.0,2.31819606811e-06,0.357894736842
15097876,0.266228430567,0.0,1.47880819875e-05,0.350586979723
15224719,0.0858806404658,0.000124870353906,3.38927507955e-08,0.784436774396
15279707,0.488146551724,0.0,4.45585303536e-05,0.681099656357
15318630,0.302023121387,0.0,3.6514892229e-05,0.539893617021
15321243,0.264918032787,0.0,2.53481655588e-05,0.424962292609
15324749,0.429964539007,0.0,3.00440325087e-05,0.371937639198
15328663,0.832478632479,0.0,4.46933399311e-05,0.459334565619
15367428,0.273858921162,0.0,3.53148226567e-06,0.392947103275
15448383,0.0,0.000236804878338,5.55561627574e-08,0.733030347456
15455450,0.391304347826,0.0,2.64332504915e-08,0.329283110571
15530118,0.4,0.0,3.30679963649e-06,0.5703125
15595027,0.775735294118,8.79108411223e-05,4.09051554389e-08,0.714884696017
15682749,0.643776824034,0.0,1.09235407656e-05,0.675487465181
15805367,0.843205574913,1.55757946733e-05,3.01049809971e-08,0.927433628319
15809964,0.468423551757,0.0,2.64332504915e-08,0.508804664723
15836275,0.108655616943,0.0,2.85743437813e-06,0.188340807175
15871870,0.631683168317,0.0,7.48457487668e-05,0.687306501548
15914878,0.320123124279,0.000225189031463,4.6327253286e-08,0.357001484414
15927815,0.516632722335,0.0,3.1863961805e-05,0.490311418685
16109017,0.33484676504,0.0,1.84054723172e-05,0.481459682166
16142914,0.647201946472,0.0,2.1753243492e-05,0.701741654572
16180264,0.437601296596,0.0,3.4335470726e-05,0.712220149254
16257044,0.613756613757,0.0,7.62070611671e-06,0.472067039106
16303802,0.0837887067395,7.84069664063e-05,3.76873636072e-08,0.120192307692
16408909,0.167824074074,0.0,7.26121391002e-06,0.27150084317
16459227,0.411214953271,0.0,3.441609214e-06,0.586872586873
16468451,0.644902634593,0.0,2.31462757929e-05,0.541009463722
16484437,0.37374749499,0.0,3.82000119478e-05,0.629959213941
16496132,0.951658767773,0.0,0.000105065562391,0.815881326353
16527716,0.233788395904,0.00131998259943,7.46719301196e-08,0.622422680412
16644246,0.526077097506,0.0,7.50836480212e-06,0.43023255814
16649518,0.372384937238,0.0,3.28433137357e-06,0.377604166667
16649872,0.508287292818,0.0,3.50901400275e-06,0.46130952381
16944013,0.34414556962,0.0,2.2562100957e-05,0.442434936039
16945428,0.39188069594,0.0,4.83107302608e-05,0.640345649583
16957615,0.149,0.0,0.000112367747839,0.5
17050665,0.174668028601,0.0,3.30098432138e-05,0.599918267266
17078096,0.390859891762,0.0,1.86076866835e-05,0.332128514056
17085112,0.178571428571,0.0,7.8678570088e-06,0.806004618938
17127177,0.237951807229,0.0,4.59290943916e-05,0.467826883444
17225810,0.192052980132,0.0,2.1833864906e-06,0.388663967611
17242852,0.379792746114,0.0,2.87184049965e-05,0.39819145619
17261097,0.488549618321,0.0,3.07405486591e-05,0.912550066756
17283343,0.458385876419,0.0,4.17724657518e-05,0.539488966318
17284137,0.4174,0.000225189031463,4.6327253286e-08,0.5
17332562,0.894837476099,0.0,2.07646399236e-05,0.638312586445
