,pagerank,eigenvector,bidirectional_links,reputaion
24503,5.21E-08,0.00033086,0.100210526,0.677966102
286543,4.43E-08,9.10E-05,0.309808612,0.591397849
382393,4.15E-08,0.000109281,0.506102522,0.713720009
586003,3.34E-08,4.66E-05,0.361618799,0.380759903
678033,0.000122033,0,0.368902439,0.835561497
722623,4.94E-05,0,0.588461538,0.721925134
755116,8.79E-08,0.000338052,0.494642857,0.56043956
755746,3.91E-05,0,0.359013867,0.711683696
785080,,,0.272892112,0.525999141
806585,5.54E-05,0,0.633448873,0.666281087
806975,0.000122033,0,0.224677716,0.902038607
887281,1.36E-05,0,0.097544338,0.158680057
1382561,1.29E-05,0,0.107533414,0.243913643
1813221,1.40E-05,0,0.319727891,0.565088757
2007021,4.22E-08,7.47E-05,0.369294606,0.928102625
2731681,1.81E-06,0,0.150326797,0.325991189
2770511,2.75E-05,0,0.323725055,0.714013951
3873101,,,0.745059289,0.583196046
3888491,4.99E-08,0.001160098,0.371252205,0.531598513
4121091,6.93E-05,0,0.40344515,0.720547251
5445622,3.14E-05,0,0.74742268,0.623848764
5656162,3.85E-08,0.000158469,0.400990099,0.554575524
5682702,7.62E-06,0,0.220930233,0.783375315
5812422,2.87E-08,0,0.239431857,0.37694901
5820222,6.03E-06,0,0.38215103,0.362043796
5856182,3.23E-08,4.80E-05,0.513420902,0.740631018
5863152,2.87E-08,0,0.446463517,0.570639779
6134312,4.49E-06,0,0.325,0.477806789
6296742,6.33E-05,0,0.483850129,0.625906235
6775342,2.52E-06,0,0.100558659,0.360714286
6834152,2.05E-07,0.00083643,0.252453167,0.51847079
7004532,4.10E-08,0.000689794,0.005952381,0.937031484
7046912,5.51E-08,0.000139212,0.087388282,0.832362244
7246122,9.59E-06,0,0.298850575,0.428884026
7527052,5.32E-06,0,0.254464286,0.32428356
8029522,1.06E-05,0,0.197916667,0.530562347
8291932,4.26E-05,0,0.560287327,0.472101842
8548002,3.25E-06,0,0.11627907,0.216887417
8657052,1.87E-05,0,0.295053004,0.575712144
