,id,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1
0,3301875373,0.075,0.6,1.0,0.1,0.205792052532
1,3169917217,0.45,0.4,1.0,1.7,0.187691450849
2,2489408846,0.05,0.35,1.0,0.115,0.198645322149
3,2418101186,0.173913043478,0.25,0.65,0.130434782609,0.112093328952
4,2500271185,0.05,0.2,1.0,0.065,0.186096609465
5,708123358437744644,0.1,0.3,1.0,0.1,0.207117200747
6,2242468778,0.085,0.4,1.0,0.09,0.18126457142
7,3204379137,0.0724637681159,0.5,1.0,0.623188405797,0.159417023514
8,3199503292,0.566666666667,0.25,1.0,0.8,0.180466652901
9,3323141609,0.4,0.3,1.0,1.1,0.183458646617
10,3203249045,0.28,0.45,1.0,2.0,0.210884353741
11,2573584507,0.085,0.5,1.0,0.075,0.194591045681
12,2249386086,0.085,0.75,0.95,0.085,0.189959489822
13,3258132036,0.09,0.6,1.0,0.115,0.209142661242
14,2594225119,None,None,None,None,None
15,3173768984,0.37037037037,0.3,1.0,1.48148148148,0.156850961538
16,2776574759,None,None,None,None,None
17,2342412056,0.085,0.55,1.0,0.115,0.202696250981
18,3204980578,0.156862745098,0.45,1.0,0.843137254902,0.165543859649
19,3346615941,0.423076923077,0.25,1.0,1.19230769231,0.145802047782
20,3356721047,0.085,0.45,0.95,0.1,0.187173117331
21,2381432557,0.588235294118,0.352941176471,0.705882352941,1.05882352941,0.0849358974359
22,2563024921,0.07,0.65,1.0,0.14,0.19521623125
23,3250959151,0.075,0.55,0.9,0.1,0.18664693273
24,2519097283,0.085,0.45,1.0,0.175,0.181896973698
25,3359775701,0.055,0.7,0.95,0.165,0.190779875609
26,3334542921,0.4,0.25,1.0,0.742857142857,0.167639574914
27,3205647855,0.1875,0.5,1.0,0.46875,0.173565157216
28,2409431970,0.07,0.4,1.0,0.14,0.189081967447
29,2982639281,0.454545454545,0.272727272727,0.545454545455,0.545454545455,0.108928571429
30,702816906730934272,0.09,0.35,1.0,0.09,0.183817785013
31,3205320328,0.119402985075,0.6,1.0,0.492537313433,0.191635178188
32,3183319706,0.0858895705521,0.35,1.0,0.128834355828,0.169466302063
33,2558509554,0.09,0.4,0.95,0.07,0.193967580566
34,3207329248,0.05,0.7,1.0,0.085,0.185419166126
35,3352226752,0.147826086957,0.55,0.95,0.15652173913,0.169429985219
36,2397183571,0.08,0.45,1.0,0.075,0.195214483011
37,2394739177,0.08,0.2,1.0,0.19,0.181140999113
38,3437529573,0.588235294118,0.352941176471,0.823529411765,1.29411764706,0.156901041667
39,3439019733,0.085,0.55,1.0,0.12,0.184817633852
40,2825384313,None,None,None,None,None
41,3171975138,0.4,0.35,1.0,1.4,0.18779227172
42,3347164013,0.04,0.45,0.9,0.095,0.205758340203
43,2595268016,None,None,None,None,None
44,705765857960599554,0.065,0.7,1.0,0.175,0.207026379161
45,1237363393,0.285714285714,0.25,0.35,0.571428571429,0.118695652174
46,2688986011,0.075,0.55,1.0,0.1,0.203295980507
47,3330290453,0.294117647059,0.588235294118,1.0,1.70588235294,0.157894736842
48,3302504193,None,None,None,None,None
49,3346345227,0.06,0.4,1.0,0.19,0.1898004704
50,1311456667,0.03,0.05,0.5,0.05,0.168626839337
51,2887479128,None,None,None,None,None
52,548855295,0.08,0.25,1.0,0.12,0.172195172755
53,2398614422,0.065,0.0,0.9,0.085,0.161873695965
54,26203719,0.005,0.05,0.7,0.04,0.0851366037898
55,232804792,0.0,0.0,0.1,0.01,0.17825918723
56,219404734,0.035,0.25,0.95,0.08,0.151984804405
57,43136801,0.005,0.05,0.65,0.04,0.054268445777
58,162018954,0.02,0.0,0.3,0.01,0.112128534646
59,22710614,0.0,0.142857142857,0.142857142857,0.0714285714286,0.207547169811
60,119065059,0.04,0.4,0.65,0.075,0.117186753746
61,532556025,0.07,0.55,0.95,0.105,0.108122598124
62,2312903347,0.045,0.15,0.4,0.02,0.130015867637
63,446546808,0.035,0.35,0.95,0.06,0.153915597571
64,3146523464,0.035,0.0,0.55,0.05,0.0943914361625
65,1395374546,0.04,0.05,0.95,0.08,0.171884710911
66,46695342,0.06,0.05,0.75,0.08,0.111019859255
67,19849696,0.045,0.05,0.7,0.08,0.136156602043
68,70797051,0.08,0.05,0.8,0.1,0.146046276765
69,21388359,0.01,0.55,0.35,0.03,0.118904698301
70,986137579,0.04,0.0,0.7,0.06,0.0918817281154
71,406828178,0.03,0.4,0.75,0.09,0.0922677905657
72,3035191778,0.0,1.0,1.0,1.0,0
73,54125633,0.045,0.8,0.9,0.12,0.154944728091
74,119702452,0.04,0.15,0.45,0.04,0.119928981739
75,67253599,0.095,0.05,0.45,0.045,0.0801926298157
76,48357793,0.015,0.2,0.1,0.01,0.132310297005
77,625400643,0.03,0.3,1.0,0.085,0.127793718839
78,237378862,0.015,0.1,0.95,0.07,0.10477954454
79,376585827,0.055,0.1,0.5,0.035,0.0777610095204
80,401575582,0.05,0.35,0.75,0.075,0.0929807465719
81,573300206,0.03,0.4,0.55,0.045,0.10709080343
82,29293281,0.005,0.0,0.65,0.04,0.172575289392
83,80000814,0.055,0.25,0.7,0.1,0.125941390416
84,40247721,0.09,0.6,0.55,0.0,0.0990499854747
85,783425629,0.035,0.0,0.5,0.05,0.162594863314
86,129586152,0.10101010101,1.0,0.1,0.010101010101,0.153364439659
87,372841412,0.09,0.4,0.9,0.05,0.172137982489
88,83585169,0.065,0.0,0.35,0.035,0.0720825261336
89,58789772,0.065,0.2,0.65,0.06,0.100220180105
90,282427769,0.05,0.05,0.85,0.1,0.154136483282
91,2630889296,0.145454545455,0.2,0.55,0.0727272727273,0.105609636529
92,225241810,0.06,0.0,0.85,0.035,0.155518225131
93,125541841,0.04,0.55,0.55,0.055,0.135171761909
94,701942407,0.05,0.05,0.3,0.02,0.111561879956
95,116356889,0.05,0.2,0.5,0.02,0.130670022336
96,7004532,0.035,0.15,0.8,0.08,0.121138835387
97,2425786212,0.1,0.0,0.05,0.005,0.138709993957
98,8711952,0.07,0.5,0.9,0.075,0.114420511267
99,107719682,0.085,0.1,0.55,0.045,0.108119315361
100,17436585,0.08,0.25,0.65,0.065,0.13245049759
101,1727495887,0.06,0.0,0.6,0.045,0.12626258985
102,785080,0.04,0.0,0.6,0.07,0.137143144772
103,771812148,0.02,0.2,0.8,0.09,0.0829269095066
104,202355526,0.08,0.3,0.5,0.075,0.155228495185
105,714301764,0.04,0.55,0.45,0.05,0.12122488691
106,2568431617,0.095,0.0,1.0,0.04,0.20142399097
107,474152548,0.055,0.4,0.85,0.11,0.100931256029
108,28140565,0.035,0.05,0.55,0.05,0.137845084352
109,293212315,0.025,0.05,0.45,0.055,0.15110729527
110,1566113330,0.075,0.1,0.7,0.065,0.1569278014
111,2242993111,0.055,0.0,0.65,0.06,0.112711494886
112,110087402,0.05,0.35,0.6,0.03,0.101760772366
113,22437649,0.07,0.1,0.4,0.035,0.105631785872
114,6134312,0.095,0.7,0.5,0.01,0.101660566206
115,1662017995,0.025,0.0,0.7,0.04,0.109189922828
116,44850701,0.0,0.45,0.35,0.005,0.0942074995918
117,708043502,0.07,0.0,0.9,0.09,0.177292576419
118,2604252163,0.06,0.15,0.7,0.065,0.137015742869
119,292928265,0.055,0.15,0.85,0.04,0.13567839196
120,43289403,0.055,0.35,0.75,0.095,0.110190047984
121,1124364168,0.08,0.4,0.9,0.105,0.125108821069
122,231957917,0.07,0.05,0.85,0.08,0.204666504328
123,73237856,0.02,0.6,1.0,0.09,0.113733285593
